"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
0.000000000E0,6.506732850E1,2.551013110E1,2.081542866E1,3.829999924E1,NaN,NaN,1.228519186E-2,4.559999847E1,6.656400204E0,0.000000000E0
1.875778591E0,6.506722920E1,2.551001620E1,2.031547138E1,3.779999924E1,NaN,NaN,9.509985222E-2,2.515399933E1,2.016412020E0,0.000000000E0
2.200377859E1,6.506663940E1,2.550893740E1,1.961575372E1,3.709999847E1,NaN,NaN,2.524018972E-1,3.530599976E1,2.734258413E0,0.000000000E0
6.184377859E1,6.506531530E1,2.550775610E1,1.911630081E1,3.659999847E1,NaN,NaN,4.539327298E-1,4.264400101E1,3.655131102E0,0.000000000E0
8.227177859E1,6.506452700E1,2.550388500E1,1.791686419E1,3.539999771E1,NaN,NaN,6.004098113E-1,3.501800156E1,3.744225025E0,0.000000000E0
1.024097786E2,6.506489040E1,2.550088170E1,1.791696073E1,3.539999771E1,NaN,NaN,6.879229453E-1,1.802199936E1,1.630138755E0,0.000000000E0
1.207703211E2,6.506439064E1,2.549943957E1,-1.748285866E1,0.000000000E0,3.730000019E0,2.188999939E2,6.929626087E-1,1.000000000E1,1.000000000E2,5.000000000E0
1.217393250E2,6.506439446E1,2.549933245E1,-1.248287231E1,5.000000000E0,3.869999886E0,2.578999939E2,6.999366545E-1,1.000000000E1,1.000000000E2,5.000000000E0
1.227830882E2,6.506441549E1,2.549919231E1,-1.648289587E1,1.000000000E0,5.460000038E0,2.940000000E2,7.071374222E-1,8.500000000E0,1.000000000E2,5.000000000E0
1.237823667E2,6.506442492E1,2.549904034E1,-1.148291668E1,6.000000000E0,5.460000038E0,3.073999939E2,7.139837043E-1,7.500000000E0,1.000000000E2,5.000000000E0
1.247733154E2,6.506446486E1,2.549892920E1,-2.482943622E0,1.500000000E1,5.599999905E0,3.085000000E2,7.200100246E-1,7.500000000E0,1.000000000E2,5.000000000E0
1.258190274E2,6.506449428E1,2.549882124E1,5.170335263E-1,1.800000000E1,6.000000000E0,3.073999939E2,7.255476124E-1,7.500000000E0,1.000000000E2,7.000000000E0
1.267729919E2,6.506451557E1,2.549871446E1,1.517013691E0,1.900000000E1,6.059999943E0,3.042000122E2,7.313067998E-1,6.000000000E0,1.000000000E2,7.000000000E0
1.277941327E2,6.506454068E1,2.549860700E1,5.169924209E-1,1.800000000E1,6.239999771E0,3.026000061E2,7.378911161E-1,6.000000000E0,1.000000000E2,7.000000000E0
1.287848112E2,6.506455958E1,2.549847390E1,5.169703998E-1,1.800000000E1,6.629999638E0,2.958999939E2,7.440037462E-1,6.000000000E0,1.000000000E2,7.000000000E0
1.297847724E2,6.506457777E1,2.549835085E1,5.169497845E-1,1.800000000E1,6.460000038E0,2.900000000E2,7.500129571E-1,5.000000000E0,1.000000000E2,7.000000000E0
1.307791634E2,6.506459151E1,2.549822688E1,1.516930639E0,1.900000000E1,6.500000000E0,2.867999878E2,7.565462439E-1,5.500000000E0,1.000000000E2,7.000000000E0
1.318044139E2,6.506460970E1,2.549809436E1,1.516908927E0,1.900000000E1,6.409999847E0,2.847000122E2,7.630700559E-1,5.500000000E0,1.000000000E2,7.000000000E0
1.327798158E2,6.506461075E1,2.549795522E1,5.168925462E-1,1.800000000E1,6.289999962E0,2.778999939E2,7.692089410E-1,5.500000000E0,1.000000000E2,7.000000000E0
1.338029133E2,6.506461767E1,2.549782530E1,-4.831248616E-1,1.700000000E1,6.119999886E0,2.776000061E2,7.752251310E-1,5.000000000E0,1.000000000E2,7.000000000E0
1.347848465E2,6.506462286E1,2.549769756E1,-1.483141409E0,1.600000000E1,6.009999752E0,2.831000061E2,7.814765517E-1,5.000000000E0,1.000000000E2,7.000000000E0
1.357848323E2,6.506463569E1,2.549756773E1,-4.831609136E-1,1.700000000E1,6.019999981E0,2.783999939E2,7.872567990E-1,5.000000000E0,1.000000000E2,7.000000000E0
1.367855030E2,6.506464579E1,2.549744678E1,-4.831784288E-1,1.700000000E1,5.869999886E0,2.756000061E2,7.933280342E-1,5.000000000E0,1.000000000E2,7.000000000E0
1.377659686E2,6.506464637E1,2.549731728E1,5.168064595E-1,1.800000000E1,5.849999905E0,2.681000061E2,7.986781596E-1,5.500000000E0,1.000000000E2,7.000000000E0
1.387897130E2,6.506464243E1,2.549720353E1,5.167947741E-1,1.800000000E1,5.889999866E0,2.566000061E2,8.049472677E-1,5.000000000E0,1.000000000E2,7.000000000E0
1.397827449E2,6.506461708E1,2.549708409E1,-4.832099320E-1,1.700000000E1,6.150000095E0,2.368999939E2,8.114732317E-1,6.000000000E0,1.000000000E2,7.000000000E0
1.407829569E2,6.506457567E1,2.549698544E1,-4.832065183E-1,1.700000000E1,6.210000038E0,2.163000031E2,8.164620432E-1,5.000000000E0,1.000000000E2,6.000000000E0
1.417831568E2,6.506453473E1,2.549694194E1,5.168030795E-1,1.800000000E1,6.269999981E0,1.908999939E2,8.229708536E-1,4.500000000E0,1.000000000E2,6.000000000E0
1.427774670E2,6.506447630E1,2.549693330E1,5.168229208E-1,1.800000000E1,6.069999695E0,1.718999939E2,8.294504006E-1,4.500000000E0,1.000000000E2,7.000000000E0
1.438042437E2,6.506442044E1,2.549697261E1,5.168473595E-1,1.800000000E1,6.569999695E0,1.631999969E2,8.351783634E-1,4.500000000E0,1.000000000E2,6.000000000E0
1.447882198E2,6.506437115E1,2.549700815E1,5.168690152E-1,1.800000000E1,5.980000019E0,1.606000061E2,8.377852418E-1,5.000000000E0,1.000000000E2,6.000000000E0
1.458080700E2,6.506435682E1,2.549705216E1,4.516879179E0,2.200000000E1,5.980000019E0,1.598000031E2,8.414272529E-1,3.000000000E0,1.000000000E2,8.000000000E0
1.467834832E2,6.506432589E1,2.549707772E1,8.516893140E0,2.600000000E1,6.150000095E0,1.603999939E2,8.462977644E-1,2.500000000E0,1.000000000E2,8.000000000E0
