"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
2.300900500E-2,4.784584045E-3,-4.082345963E-2,-5.305290222E-2
3.088254100E-2,1.436966658E-2,-5.287313461E-2,1.165246964E-2
3.878659300E-2,-4.931181669E-2,-7.997608185E-2,-6.171226501E-3
4.672116400E-2,-1.919332147E-1,-1.060667038E-1,-5.954551697E-2
5.471676900E-2,-2.431666255E-1,-6.519842148E-2,-2.375698090E-1
6.265133900E-2,-8.786541224E-2,-1.375093460E-1,-3.310236931E-1
7.061642700E-2,1.008212566E-1,-2.385711670E-1,-3.589935303E-1
7.858151500E-2,1.193373203E-1,-2.076425552E-1,-2.619118690E-1
8.648556800E-2,2.118289471E-2,-1.909613609E-1,-2.187542915E-1
9.445065600E-2,-1.472204924E-2,-1.024537086E-1,-2.569999695E-1
1.023547090E-1,-1.239639521E-2,-1.324353218E-1,-2.964658737E-1
1.102282440E-1,-1.717710495E-2,-1.420884132E-1,-2.245788574E-1
1.181322960E-1,-1.664564610E-1,-9.722185135E-2,-2.127380371E-1
1.260363490E-1,-2.132112980E-1,-8.799362183E-2,-3.992872238E-1
1.339709190E-1,-1.684644222E-1,-8.111476898E-2,-3.828372955E-1
1.419054900E-1,-7.212936878E-2,-8.992004395E-2,-2.692332268E-1
1.497790250E-1,-1.639720798E-1,-1.306109428E-1,-2.209882736E-1
1.577135950E-1,-1.990404725E-1,-8.683109283E-2,-9.272527695E-2
1.656481660E-1,-8.199846745E-2,2.267408371E-2,2.354822159E-1
1.736132530E-1,2.833498120E-1,-4.224872589E-2,4.357242584E-1
1.815173060E-1,6.307833791E-1,-2.130622864E-1,5.087575912E-1
1.894518760E-1,6.376071572E-1,-3.204264641E-1,3.088989258E-1
1.974169640E-1,1.664623022E-1,-2.121987343E-1,3.062782288E-1
2.053515350E-1,-2.106159329E-1,-3.467130661E-2,4.051928520E-1
2.133471400E-1,-3.842636943E-1,7.343769073E-2,6.036491394E-1
2.212511930E-1,-3.971000910E-1,1.510648727E-1,7.984929085E-1
2.291247280E-1,-2.857788205E-1,2.247653008E-1,7.926263809E-1
2.370287810E-1,-1.764689684E-1,1.689176559E-1,5.892229080E-1
2.449328340E-1,-6.942129135E-2,3.173732758E-2,3.908886909E-1
2.528674040E-1,-7.062613964E-3,9.452962875E-2,1.223583221E-1
2.608324920E-1,-1.547138095E-1,2.355241776E-2,-9.698867798E-4
2.687365440E-1,-2.221079469E-1,5.058002472E-2,5.468177795E-2
2.766711150E-1,-4.491577744E-1,-8.503198624E-2,2.610988617E-1
2.846056850E-1,-1.093701720E-1,2.516169548E-1,4.007501602E-1
2.925707730E-1,-7.724416256E-2,2.650122643E-1,2.397251129E-1
3.005053430E-1,8.976185322E-2,6.397628784E-2,2.816157341E-1
3.083788780E-1,3.005509377E-1,7.733774185E-2,-1.906943321E-1
3.163134490E-1,2.179130316E-1,5.333375931E-2,-8.975505829E-3
3.242480190E-1,2.228491902E-1,-7.680892944E-2,8.800601959E-2
3.322131070E-1,2.708076835E-1,5.428409576E-2,1.678023338E-1
3.401476770E-1,2.013758421E-1,-5.584955215E-2,1.941380501E-1
3.480517300E-1,2.157388330E-1,-5.140924454E-2,2.087855339E-1
3.559252650E-1,2.757158875E-1,-8.358192444E-2,1.423149109E-1
3.638598350E-1,4.786892533E-1,-3.850822449E-1,1.512722969E-1
3.717944060E-1,7.413602471E-1,-4.300894737E-1,-2.536425591E-1
3.797289760E-1,6.660795212E-1,-3.085198402E-1,1.778602600E-2
3.876330290E-1,6.129891276E-1,-1.307744980E-1,1.664085388E-1
3.955370820E-1,4.565581083E-1,1.020908356E-3,-2.659749985E-1
4.034716520E-1,2.240713239E-1,6.221628189E-2,9.175300598E-2
4.114367400E-1,3.552835286E-1,-2.107510567E-1,4.593753815E-1
4.193713100E-1,5.588625669E-1,-4.389348030E-1,4.876394272E-1
4.272448450E-1,8.933652639E-1,-3.865489960E-1,6.345624924E-1
4.352099330E-1,5.907016397E-1,-2.873167992E-1,8.349084854E-1
4.431139860E-1,4.417072833E-1,-1.387076378E-1,1.069648743E0
4.510790740E-1,3.383044600E-1,-5.976390839E-2,1.031037331E0
4.589526090E-1,1.192616522E-1,-1.031785011E-1,7.484540939E-1
4.668566620E-1,3.631186485E-2,-5.818176270E-2,4.890041351E-1
4.747607140E-1,1.324394345E-2,-6.657695770E-2,1.620006561E-1
4.826342500E-1,8.865529299E-2,-7.337522507E-2,-4.999160767E-2
4.905993370E-1,1.790915877E-1,-8.424139023E-2,-1.131296158E-1
4.985339080E-1,1.342355460E-1,-6.533908844E-2,-1.956462860E-2
5.064379600E-1,2.362472713E-1,-4.449319839E-2,3.356075287E-2
5.143725310E-1,2.795128524E-1,1.456785202E-2,1.991720200E-1
5.222765840E-1,1.191091239E-1,1.624937057E-1,2.178068161E-1
5.302416710E-1,-5.113944411E-2,3.111290932E-1,3.693857193E-1
5.381457240E-1,-1.874851584E-1,4.209051132E-1,3.442640305E-1
5.460802940E-1,-3.305862844E-1,5.323734283E-1,3.162994385E-1
5.540148650E-1,-5.937412977E-1,6.496510506E-1,3.341178894E-1
5.619494350E-1,-7.815401554E-1,7.607026100E-1,4.390687943E-1
5.699450410E-1,-8.624923229E-1,8.127179146E-1,6.432151794E-1
5.778185760E-1,-7.186748385E-1,8.088746071E-1,8.909387589E-1
5.857531460E-1,-5.308037996E-1,7.862930298E-1,1.182929039E0
5.936571990E-1,-3.363999128E-1,7.638835907E-1,1.270281792E0
6.015612510E-1,-8.741101623E-2,6.452183723E-1,1.127080917E0
6.095263390E-1,3.273515999E-1,4.704055786E-1,7.728853226E-1
6.174303920E-1,5.804582834E-1,2.004542351E-1,4.437685013E-1
6.253039270E-1,7.377545238E-1,2.997446060E-2,1.537141800E-1
6.332384980E-1,5.573754311E-1,-7.264280319E-2,-8.495807648E-2
6.411425500E-1,1.874453723E-1,-2.053451538E-2,-1.457767487E-1
6.491381560E-1,-9.527586401E-2,3.327512741E-2,-1.509962082E-1
6.570727260E-1,-3.168992400E-1,-3.950595856E-3,-2.949934006E-1
6.649767790E-1,-4.574787021E-1,-7.106304169E-3,-4.010138512E-1
6.728808320E-1,-5.149079561E-1,2.588701248E-2,-3.864769936E-1
6.807848840E-1,-4.831546247E-1,1.530599594E-2,-3.353376389E-1
6.887499720E-1,-5.812830925E-1,1.026396751E-1,-1.661014557E-1
6.966540250E-1,-7.257747650E-1,1.268219948E-1,-3.998374939E-2
7.045275600E-1,-5.911886692E-1,1.391868591E-1,1.785182953E-2
7.124010950E-1,-1.381480098E-1,1.609945297E-2,1.334190369E-2
7.203356660E-1,1.951859295E-1,-3.883743286E-2,2.191905975E-1
7.283007530E-1,3.510385752E-1,-2.753353119E-2,3.084497452E-1
7.362658410E-1,6.010323167E-1,-8.663129807E-2,2.042064667E-1
7.441393760E-1,9.188699722E-1,-2.592868805E-1,-3.516263962E-1
7.520739470E-1,4.050880075E-1,-2.086825371E-1,-8.767685890E-1
7.600085170E-1,1.669740528E-1,-1.032023430E-1,-5.457868576E-1
7.679736050E-1,-9.002929926E-2,-6.626367569E-2,-9.440083504E-1
7.758776580E-1,-2.959066629E-1,5.858421326E-3,-9.034938812E-1
7.838122280E-1,-3.766493797E-1,6.468343735E-2,-7.103066444E-1
7.917162810E-1,-2.830158472E-1,1.214418411E-1,-5.387907028E-1
7.996203340E-1,-1.849645972E-1,9.764051437E-2,-3.127551079E-1
8.075854210E-1,-5.147075653E-2,1.704525948E-1,-1.041345596E-1
8.154894740E-1,1.421832293E-1,2.039251328E-1,1.585025787E-1
8.233630090E-1,2.864158750E-1,1.820178032E-1,3.981170654E-1
8.313280970E-1,4.362646937E-1,1.594910622E-1,5.311203003E-1
8.392321500E-1,3.906821609E-1,1.694359779E-1,6.919765472E-1
8.471972380E-1,4.055564106E-1,1.434793472E-1,6.805000305E-1
8.550707730E-1,4.847973883E-1,6.162214279E-2,6.528940201E-1
8.629748260E-1,5.387877822E-1,-3.134822845E-2,5.785102844E-1
8.708788780E-1,5.151153207E-1,6.278991699E-3,4.897623062E-1
8.787829310E-1,2.161401808E-1,2.519130707E-3,3.049478531E-1
8.867480190E-1,-6.911799312E-2,1.101975441E-1,-4.992103577E-2
8.946520720E-1,-2.411582768E-1,1.694498062E-1,-3.884606361E-1
9.025561250E-1,-2.714959979E-1,1.786999702E-1,-6.266698837E-1
9.104296600E-1,-1.710239351E-1,1.634149551E-1,-6.674051285E-1
9.183337120E-1,-2.397724390E-1,2.762432098E-1,-5.070567131E-1
9.262988000E-1,7.159411907E-4,2.554640770E-1,-1.834802628E-1
9.342333710E-1,4.000636935E-2,2.417712212E-1,2.103872299E-1
9.421069060E-1,1.200345010E-1,2.580204010E-1,5.343217850E-1
9.500414760E-1,2.110700309E-1,2.020411491E-1,6.700220108E-1
9.579455290E-1,1.891596913E-1,1.425094604E-1,6.934833527E-1
9.658800990E-1,1.868927032E-1,7.076358795E-2,5.879192352E-1
9.737841520E-1,2.120780945E-1,2.367544174E-2,2.703685760E-1
9.816576870E-1,1.486313492E-1,-3.983402252E-2,1.883983612E-2
9.895617400E-1,4.724478722E-2,-7.163524628E-3,-2.624645233E-1
9.974352750E-1,-1.312419772E-2,7.023811340E-4,-3.467974663E-1
1.005430880E0,-1.386057138E-1,6.267833710E-2,-2.811241150E-1
1.013334933E0,-9.926220775E-2,2.211999893E-2,-7.119083405E-2
1.021208468E0,-1.447848678E-1,6.120109558E-2,1.391906738E-1
1.029112521E0,-9.794235229E-2,7.082128525E-2,2.669878006E-1
1.037016574E0,-3.194230795E-2,1.604080200E-2,2.796182632E-1
1.044951144E0,-9.140288830E-2,-3.177690506E-2,2.899608612E-1
1.052885714E0,-1.361382306E-1,-1.126146317E-2,1.765117645E-1
1.060759250E0,-1.988465190E-1,2.476739883E-2,9.023094177E-2
1.068724337E0,-2.092667222E-1,4.582881927E-2,7.144165039E-2
1.076628390E0,-3.006860614E-2,1.177024841E-2,4.073524475E-2
1.084562960E0,1.032812893E-1,-6.755352020E-2,-1.885890961E-2
1.092497531E0,2.080869526E-1,-1.247687340E-1,-3.330802917E-2
1.100371066E0,3.112888932E-1,-2.049489021E-1,1.869487762E-2
1.108305636E0,3.606940210E-1,-2.648291588E-1,7.720851898E-2
1.116209689E0,2.910841107E-1,-3.000016212E-1,1.952199936E-1
1.124144259E0,3.638291359E-1,-3.063454628E-1,2.868862152E-1
1.132139865E0,5.098620057E-1,-3.508882523E-1,2.276191711E-1
1.140043918E0,5.652544498E-1,-3.295702934E-1,3.264522552E-2
1.147917453E0,6.843317151E-1,-3.841342926E-1,-8.595085144E-2
1.155852023E0,7.606070042E-1,-3.507761955E-1,-5.551528931E-2
1.163817111E0,5.150191784E-1,-1.767697334E-1,1.024456024E-1
1.171751681E0,2.216255665E-2,7.111024857E-2,2.464361191E-1
