"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
2.259536297E0,6.506104310E1,2.546508260E1,1.741447740E1,NaN,NaN,1.323700047E1,1.000000000E0
3.368110344E0,6.506077142E1,2.546550276E1,-1.348536909E1,7.999999821E-2,0.000000000E0,3.050000000E1,1.000000000E2
3.855246075E0,6.506098922E1,2.546562497E1,-1.248543891E1,1.299999952E-1,0.000000000E0,1.900000000E1,1.000000000E2
4.864041420E0,6.506103851E1,2.546566620E1,3.551454682E1,2.099999934E-1,0.000000000E0,1.600000000E1,1.000000000E2
5.854956919E0,6.506104182E1,2.546559094E1,3.351453712E1,2.199999988E-1,0.000000000E0,1.350000000E1,1.000000000E2
6.866551995E0,6.506106864E1,2.546559253E1,3.051452702E1,3.100000024E-1,2.739999962E1,1.150000000E1,1.000000000E2
7.879324841E0,6.506102761E1,2.546558591E1,2.551454200E1,0.000000000E0,0.000000000E0,1.000000000E1,1.000000000E2
8.888134302E0,6.506101458E1,2.546557132E1,2.551454536E1,4.699999988E-1,3.573999939E2,9.500000000E0,1.000000000E2
9.879533032E0,6.506099459E1,2.546553276E1,2.451454871E1,9.099999666E-1,2.747000122E2,9.000000000E0,1.000000000E2
1.088218415E1,6.506100750E1,2.546551039E1,2.751454125E1,1.009999990E0,2.717999878E2,8.000000000E0,1.000000000E2
1.187294449E1,6.506101936E1,2.546549010E1,2.651453444E1,1.069999933E0,2.638999939E2,7.500000000E0,1.000000000E2
1.287864234E1,6.506102380E1,2.546546428E1,2.651452984E1,9.699999690E-1,2.605000000E2,7.000000000E0,1.000000000E2
1.387595953E1,6.506102279E1,2.546544475E1,2.651452804E1,7.799999714E-1,2.588999939E2,7.000000000E0,1.000000000E2
1.489133464E1,6.506102304E1,2.546541927E1,2.551452509E1,1.059999943E0,2.626000061E2,6.500000000E0,1.000000000E2
1.588634522E1,6.506102246E1,2.546539371E1,2.551452245E1,1.039999962E0,2.653999939E2,6.500000000E0,1.000000000E2
1.688739049E1,6.506101605E1,2.546536328E1,2.451452150E1,1.120000005E0,2.597999878E2,6.000000000E0,1.000000000E2
1.789536380E1,6.506101206E1,2.546533529E1,2.351451990E1,9.899999499E-1,2.602000122E2,6.000000000E0,1.000000000E2
1.889408087E1,6.506100129E1,2.546530218E1,2.251452032E1,1.209999919E0,2.570000000E2,5.500000000E0,1.000000000E2
1.989643256E1,6.506100435E1,2.546526429E1,2.051451490E1,1.240000010E0,2.586000061E2,5.500000000E0,1.000000000E2
2.089498110E1,6.506098009E1,2.546522263E1,1.751451955E1,1.259999990E0,2.593999939E2,5.000000000E0,1.000000000E2
2.189503429E1,6.506097602E1,2.546519145E1,1.751451762E1,1.039999962E0,2.597999878E2,5.000000000E0,1.000000000E2
2.289633195E1,6.506095327E1,2.546515650E1,1.451452244E1,1.049999952E0,2.568999939E2,4.500000000E0,1.000000000E2
2.388829237E1,6.506094526E1,2.546512624E1,1.351452212E1,1.019999981E0,2.550000000E2,4.000000000E0,1.000000000E2
2.489555148E1,6.506094023E1,2.546509582E1,1.251452064E1,1.159999967E0,2.501999969E2,4.000000000E0,1.000000000E2
2.588850748E1,6.506093600E1,2.546506464E1,1.251451878E1,1.379999995E0,2.503000031E2,3.500000000E0,1.000000000E2
2.690539937E1,6.506093365E1,2.546503044E1,1.251451585E1,1.480000019E0,2.488999939E2,3.500000000E0,1.000000000E2
